Influencer_ID,Name,Platform,Followers,Engagement_Rate,Niche,Avg_Likes,Avg_Comments,Audience_Age,Audience_Gender,Audience_Location,Past_Brand_Collabs,Fraud_Score
1,Influencer_1,TikTok,765340,6.18,Fashion,47298,2252,23-41,"67% Male, 53% Female",UK,"Zara, L'Oreal, Nike",1
2,Influencer_2,Instagram,270668,4.82,Music,13046,931,29-44,"51% Male, 52% Female",Australia,"Samsung, Tesla, Nike",3
3,Influencer_3,TikTok,352022,2.63,Finance,9258,841,26-32,"60% Male, 19% Female",Germany,Uber Eats,4
4,Influencer_4,Instagram,983553,5.61,Tech,55177,2758,26-44,"60% Male, 23% Female",Canada,"Uber Eats, Apple, H&M",8
5,Influencer_5,YouTube,315287,6.74,Fashion,21250,965,28-44,"81% Male, 44% Female",Brazil,"Zara, Samsung",4
6,Influencer_6,Twitter,602996,8.99,Tech,54209,2464,16-41,"68% Male, 29% Female",USA,"Sony, L'Oreal, Adidas",2
7,Influencer_7,YouTube,204008,1.91,Food,3896,389,19-26,"73% Male, 12% Female",Canada,Sony,10
8,Influencer_8,TikTok,943661,3.24,Music,30574,1528,19-28,"90% Male, 47% Female",UK,"Coca-Cola, Sony, Uber Eats",6
9,Influencer_9,Instagram,454468,2.68,Travel,12179,507,27-39,"78% Male, 26% Female",UK,"Nike, Adidas",10
10,Influencer_10,TikTok,442388,8.93,Fitness,39505,2633,24-34,"80% Male, 45% Female",USA,"Adidas, Tesla",9
11,Influencer_11,YouTube,202274,4.31,Beauty,8718,544,22-42,"50% Male, 57% Female",Brazil,"Samsung, H&M, L'Oreal",2
12,Influencer_12,TikTok,16292,9.08,Lifestyle,1479,52,22-35,"84% Male, 30% Female",Canada,"Apple, H&M",10
13,Influencer_13,TikTok,197139,9.21,Lifestyle,18156,907,25-33,"61% Male, 31% Female",Canada,Tesla,2
14,Influencer_14,Twitter,197090,3.61,Food,7114,296,20-36,"43% Male, 59% Female",Canada,"Zara, Tesla, Sony",9
15,Influencer_15,YouTube,91348,5.01,Lifestyle,4576,381,20-40,"73% Male, 34% Female",USA,"H&M, Adidas",4
16,Influencer_16,YouTube,951077,4.73,Tech,44985,2811,25-40,"68% Male, 31% Female",South Korea,"Tesla, Zara",8
17,Influencer_17,YouTube,910838,3.4,Tech,30968,1407,29-42,"62% Male, 59% Female",India,"Tesla, Uber Eats",2
18,Influencer_18,YouTube,627355,1.83,Beauty,11480,382,17-29,"87% Male, 49% Female",UK,"H&M, Nike",8
19,Influencer_19,YouTube,157827,7.88,Tech,12436,444,28-26,"71% Male, 45% Female",Germany,H&M,8
20,Influencer_20,Instagram,406208,1.88,Gaming,7636,318,17-35,"87% Male, 52% Female",Germany,H&M,3
21,Influencer_21,Twitter,488020,9.64,Tech,47045,3920,26-41,"67% Male, 27% Female",France,"Tesla, L'Oreal, Adidas",10
22,Influencer_22,YouTube,841471,5.45,Finance,45860,2183,22-28,"53% Male, 21% Female",India,Samsung,8
23,Influencer_23,Instagram,596873,8.9,Gaming,53121,2656,16-33,"74% Male, 36% Female",India,Nike,8
24,Influencer_24,Instagram,965107,1.8,Tech,17371,1021,30-27,"89% Male, 36% Female",Japan,Sony,3
25,Influencer_25,YouTube,845685,9.81,Finance,82961,7541,28-37,"45% Male, 27% Female",Brazil,Adidas,4
26,Influencer_26,YouTube,215483,2.88,Beauty,6205,229,19-27,"72% Male, 41% Female",India,Uber Eats,5
27,Influencer_27,Twitter,672790,2.38,Travel,16012,615,21-38,"81% Male, 26% Female",Canada,"Nike, Sony, Zara",1
28,Influencer_28,YouTube,105148,9.1,Beauty,9568,341,26-38,"66% Male, 19% Female",UK,"Tesla, Nike, H&M",8
29,Influencer_29,TikTok,754403,4.98,Food,37569,1252,22-44,"62% Male, 25% Female",Brazil,H&M,2
30,Influencer_30,TikTok,860661,6.01,Fitness,51725,2069,21-33,"66% Male, 48% Female",Australia,"H&M, Sony, Uber Eats",10
31,Influencer_31,Instagram,596796,8.27,Music,49355,1974,26-28,"81% Male, 49% Female",Canada,"Samsung, Tesla",8
32,Influencer_32,YouTube,727701,2.83,Travel,20593,1584,29-39,"45% Male, 43% Female",Japan,"Uber Eats, H&M, L'Oreal",7
33,Influencer_33,YouTube,919980,4.01,Lifestyle,36891,1229,29-25,"48% Male, 17% Female",UK,Sony,1
34,Influencer_34,Twitter,188356,4.31,Finance,8118,405,20-37,"79% Male, 29% Female",France,"Adidas, Tesla, Uber Eats",3
35,Influencer_35,Twitter,320566,8.03,Gaming,25741,1119,21-26,"72% Male, 55% Female",UK,"Coca-Cola, Sony",8
36,Influencer_36,YouTube,420247,7.53,Travel,31644,1438,19-44,"61% Male, 24% Female",Canada,"Coca-Cola, Tesla, H&M",6
37,Influencer_37,TikTok,80420,6.32,Tech,5082,211,22-42,"71% Male, 22% Female",France,L'Oreal,3
38,Influencer_38,YouTube,167249,7.61,Food,12727,424,27-42,"79% Male, 25% Female",Canada,Coca-Cola,6
39,Influencer_39,TikTok,402368,5.93,Fitness,23860,822,27-41,"56% Male, 40% Female",USA,"Tesla, Nike, Zara",1
40,Influencer_40,YouTube,888835,7.4,Beauty,65773,2268,22-30,"89% Male, 12% Female",Australia,"Zara, Coca-Cola",10
41,Influencer_41,YouTube,730874,1.77,Gaming,12936,760,17-31,"47% Male, 22% Female",India,"Uber Eats, Apple, L'Oreal",9
42,Influencer_42,Instagram,388727,7.79,Gaming,30281,1593,25-34,"78% Male, 18% Female",Japan,Tesla,3
43,Influencer_43,Instagram,402574,2.21,Tech,8896,317,20-40,"58% Male, 35% Female",South Korea,"Uber Eats, Nike, Coca-Cola",4
44,Influencer_44,Twitter,812941,6.17,Fashion,50158,2180,19-29,"65% Male, 42% Female",Brazil,"Coca-Cola, Adidas",5
45,Influencer_45,Instagram,156575,5.83,Finance,9128,608,25-44,"49% Male, 33% Female",South Korea,Apple,3
46,Influencer_46,YouTube,162950,3.44,Fitness,5605,233,19-36,"81% Male, 15% Female",Australia,"Adidas, Apple, L'Oreal",9
47,Influencer_47,YouTube,683319,6.44,Music,44005,1466,17-44,"67% Male, 48% Female",Brazil,"L'Oreal, Coca-Cola",9
48,Influencer_48,YouTube,755772,6.95,Gaming,52526,1875,21-41,"66% Male, 26% Female",France,"Samsung, Nike, L'Oreal",7
49,Influencer_49,YouTube,883651,3.03,Gaming,26774,1574,30-26,"50% Male, 36% Female",Japan,Coca-Cola,3
50,Influencer_50,TikTok,70578,1.65,Lifestyle,1164,43,19-30,"64% Male, 49% Female",India,"Adidas, L'Oreal, Apple",2
51,Influencer_51,TikTok,631497,5.01,Food,31637,2109,23-26,"41% Male, 58% Female",Japan,"Adidas, Sony",7
52,Influencer_52,YouTube,576827,3.68,Beauty,21227,1768,24-28,"52% Male, 19% Female",UK,"H&M, Apple",7
53,Influencer_53,Instagram,521106,3.44,Gaming,17926,746,20-27,"50% Male, 40% Female",Canada,Adidas,6
54,Influencer_54,Twitter,715078,4.19,Travel,29961,1302,22-43,"45% Male, 26% Female",Brazil,Coca-Cola,8
